NationalID,GivenName,Surname,Birthday,City
388.624.732-57,Tiago,Cunha,7/19/1989,Rio Branco
992.809.969-32,Kai,Gomes,10/29/1953,Jundiaí
518.376.278-35,Estevan,Azevedo,1/3/1938,Nilópolis
715.379.468-97,Luis,Sousa,3/15/1946,Vitória
299.602.526-12,Aline,Pinto,1/19/1999,Barueri
980.547.988-90,Bianca,Araujo,2/15/1983,Diadema
139.737.913-84,Sarah,Almeida,5/10/1978,Esteio
774.943.672-33,Carlos,Correia,11/12/1982,Mogi-Guaçu
501.882.855-20,Giovana,Costa,7/2/1956,Rio de Janeiro
517.352.459-68,Carlos,Barbosa,1/16/1980,Guarujá
340.578.487-54,Sarah,Rocha,6/8/1988,Campo Grande
120.532.369-49,Nicole,Araujo,11/17/2001,Bauru
997.955.251-40,Joao,Goncalves,9/3/1965,Duque de Caxias
442.558.229-21,Estevan,Pinto,10/21/1993,Rio de Janeiro
187.599.824-11,Livia,Ribeiro,11/21/1958,Valparaíso de Goiás
938.018.790-46,Murilo,Araujo,2/22/1984,Belo Horizonte
433.294.765-75,Murilo,Gomes,12/19/1950,Itaquaquecetuba
840.827.432-51,Carlos,Fernandes,6/11/1942,Boa Vista
544.893.954-69,Miguel,Pereira,4/24/1940,Feira de Santana
993.972.740-23,Rebeca,Carvalho,4/11/1938,Belo Horizonte
619.257.763-36,Beatrice,Melo,2/18/1947,Campinas
